Topic,Premise,Conclusion,Novelty,Confidence
TV viewing is harmful to children,"The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.",Depression is a well-known psychological problem of modern society that is partly caused by TV watching:,1,confident
TV viewing is harmful to children,"The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.",US-India deal does not cap or limit Indian fissile material production.,0,very confident
TV viewing is harmful to children,"There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.",Educational TV shows are beneficial for children.,1,confident
TV viewing is harmful to children,"There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.",Educational TV shows.,0,confident
TV viewing is harmful to children,"There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.",Post-invasion UN resolutions authorized the presence of coalition forces in Iraq.,0,very confident
TV viewing is harmful to children,"Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.",Television has a negative effect on education and culture,1,confident
TV viewing is harmful to children,"Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.",Television is a form of entertainment.,0,very confident
TV viewing is harmful to children,"Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.",Television is mostly directed to films and shows that have commercial purposes but little cultural value:,1,very confident
TV viewing is harmful to children,"Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.",Television is a temple of shallow values,0,very confident
TV viewing is harmful to children,"Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.","Torture is not punishment, but a measure to protect innocent civilians",0,very confident
Torture,"No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.",No Western nation performs torture on foreign prisoners.,0,very confident
Torture,"No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.",EU admission undermines Turkey's democratic example to Middle East,0,very confident
Torture,"The ends do not justify the means in the case of torture. Because we accept that torture is always morally wrong, even if torture had the potential to save lives, it is unacceptable to sacrifice principle to achieve these ends. Torture violates the dignity of the human being Torture violates protections of the vulnerable",The ends do not justify the means in the case of torture,0,very confident
Torture,"The ends do not justify the means in the case of torture. Because we accept that torture is always morally wrong, even if torture had the potential to save lives, it is unacceptable to sacrifice principle to achieve these ends. Torture violates the dignity of the human being Torture violates protections of the vulnerable",The ends do not justify the means in torture.,0,very confident
Torture,"The ends do not justify the means in the case of torture. Because we accept that torture is always morally wrong, even if torture had the potential to save lives, it is unacceptable to sacrifice principle to achieve these ends. Torture violates the dignity of the human being Torture violates protections of the vulnerable",Ends don't justify the means in torture.,0,very confident
