Topic,Premise,Conclusion,Validity,Confidence
TV viewing is harmful to children,"The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.",Depression is a well-known psychological problem of modern society that is partly caused by TV watching:,1,confident
TV viewing is harmful to children,"The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.",Children's TV viewing fosters negative emotions,1,very confident
TV viewing is harmful to children,"The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.",Popularity of TV is harmful to children,1,very confident
TV viewing is harmful to children,"The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.",Violence on TV and in movies encourages psychological stress,1,very confident
TV viewing is harmful to children,"The popularity of TV watching is among the reasons of this phenomenon. Violence, aggression, crimes and wars are broadcast through the daily news as well as in movies, showing dark pictures that encourage psychological tension, pessimism and negative emotions.",US-India deal does not cap or limit Indian fissile material production.,0,very confident
TV viewing is harmful to children,"There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.",Educational TV shows are beneficial for children.,1,very confident
TV viewing is harmful to children,"There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.",There are many educational programs for children.,1,very confident
TV viewing is harmful to children,"There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.",There are many educational TV shows for children.,1,very confident
TV viewing is harmful to children,"There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.",Educational TV shows.,0,confident
TV viewing is harmful to children,"There are various educational TV shows for children that were proven to teach children basic literacy skills or helped them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and many more. Moreover, they were also popular among children.",Post-invasion UN resolutions authorized the presence of coalition forces in Iraq.,0,very confident
TV viewing is harmful to children,"Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.",Television has a negative effect on education and culture,1,very confident
TV viewing is harmful to children,"Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.",Television is mostly directed to films and shows that have commercial purposes but little cultural value:,1,very confident
TV viewing is harmful to children,"Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.",Television is a temple of shallow values,1,very confident
TV viewing is harmful to children,"Television has become a temple of mass production, shallow values and stereotypes that have a great influence on modern society. This negative effect spreads with the growing popularity of TV, especially among young people and children. It defiantly changes our society for the worse, trivialising culture and making us all conform to a bland, ""Hollywood"" model of entertainment in which regional traditions and diversity are lost.","Torture is not punishment, but a measure to protect innocent civilians",0,very confident
Torture,"No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.",EU admission undermines Turkey's democratic example to Middle East,0,very confident
Torture,"The ends do not justify the means in the case of torture. Because we accept that torture is always morally wrong, even if torture had the potential to save lives, it is unacceptable to sacrifice principle to achieve these ends. Torture violates the dignity of the human being Torture violates protections of the vulnerable",The ends do not justify the means in the case of torture,1,very confident
Torture,"The ends do not justify the means in the case of torture. Because we accept that torture is always morally wrong, even if torture had the potential to save lives, it is unacceptable to sacrifice principle to achieve these ends. Torture violates the dignity of the human being Torture violates protections of the vulnerable",The ends do not justify the means in torture.,1,very confident
Torture,"The ends do not justify the means in the case of torture. Because we accept that torture is always morally wrong, even if torture had the potential to save lives, it is unacceptable to sacrifice principle to achieve these ends. Torture violates the dignity of the human being Torture violates protections of the vulnerable",Ends don't justify the means in torture.,1,very confident
Torture,"No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.","Torture is not being applied to legitimate foreign troops, but terrorists:",1,very confident
Torture,"While some argue that the ""ticking time-bomb"" is a fictitious experiment that impossibly requires perfect information, it need not be based on perfect information. A leader can justifiably determine that torture is the best course of action on the existence of reasonable probabilities that a ""ticking time bomb"" exists and threatens a certain amount of lives, and that a suspect retains information that could save those lives and has a good chance of being extracted through torture.",Ticking time bomb is fictitious; torture is necessary,0,confident
Torture,"Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.",Terrorists would not be threatened by a Western policy of torture,1,very confident
Torture,"Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.",Saddam's regime posed a general menace to international law and security,0,very confident
Torture,"No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.",Tortured POWs are not tortured by other states,0,very confident
Torture,"No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.",Torture on POWs is not a form of torture,0,very confident
Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.",Torture is dehumanizing.,1,very confident
Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.","Torture has a brutalizing, dehumanizing effect",1,very confident
Torture,"A terrorist will experience pain for a short period while being tortured. Yet, the millions of lives that could be lost if that pain is not inflicted will be gone forever. The ethical trade-off is overwhelmingly in favor of performing torture.",Terrorists are ticking time bombs.,0,very confident
Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.",Torture dehumanizes the torturer,1,very confident
